2024-11-18 02:13:26,503 p=46913 u=jason n=ansible | PLAY [Initial setup] ****************************************************************************************************************************************************
2024-11-18 12:00:10,236 p=35770 u=jason n=ansible | ok: [1PipeTeaseOps-1]
2024-11-18 12:00:10,243 p=35770 u=jason n=ansible | TASK [agama : Agama is owner now] ***************************************************************************************************************************************
2024-11-18 12:00:10,637 p=35770 u=jason n=ansible | ok: [1PipeTeaseOps-1]
2024-11-18 12:00:10,643 p=35770 u=jason n=ansible | TASK [agama : download python3 flask sql] *******************************************************************************************************************************
2024-11-18 12:00:11,712 p=35770 u=jason n=ansible | ok: [1PipeTeaseOps-1]
2024-11-18 12:00:11,719 p=35770 u=jason n=ansible | TASK [agama : Download agama.py] ****************************************************************************************************************************************
2024-11-18 12:00:12,274 p=35770 u=jason n=ansible | ok: [1PipeTeaseOps-1]
2024-11-18 12:00:12,284 p=35770 u=jason n=ansible | PLAY [Configure uWSGI] **************************************************************************************************************************************************
2024-11-18 12:00:12,290 p=35770 u=jason n=ansible | TASK [Gathering Facts] **************************************************************************************************************************************************
2024-11-18 12:00:13,350 p=35770 u=jason n=ansible | ok: [1PipeTeaseOps-1]
2024-11-18 12:00:13,355 p=35770 u=jason n=ansible | TASK [uwsgi : Install uWSGI] ********************************************************************************************************************************************
2024-11-18 12:00:14,508 p=35770 u=jason n=ansible | ok: [1PipeTeaseOps-1]
2024-11-18 12:00:14,515 p=35770 u=jason n=ansible | TASK [uwsgi : Configure host uwsgi] *************************************************************************************************************************************
2024-11-18 12:00:15,178 p=35770 u=jason n=ansible | ok: [1PipeTeaseOps-1]
2024-11-18 12:00:15,184 p=35770 u=jason n=ansible | TASK [uwsgi : Enable and start uWSGI service] ***************************************************************************************************************************
2024-11-18 12:00:15,680 p=35770 u=jason n=ansible | ok: [1PipeTeaseOps-1]
2024-11-18 12:00:15,688 p=35770 u=jason n=ansible | PLAY [Configure Nginx] **************************************************************************************************************************************************
2024-11-18 12:00:15,694 p=35770 u=jason n=ansible | TASK [Gathering Facts] **************************************************************************************************************************************************
2024-11-18 12:00:16,701 p=35770 u=jason n=ansible | ok: [1PipeTeaseOps-1]
2024-11-18 12:00:16,706 p=35770 u=jason n=ansible | TASK [nginx : Install nginx] ********************************************************************************************************************************************
2024-11-18 12:00:17,772 p=35770 u=jason n=ansible | ok: [1PipeTeaseOps-1]
2024-11-18 12:00:17,779 p=35770 u=jason n=ansible | TASK [nginx : Template Nginx Config] ************************************************************************************************************************************
2024-11-18 12:00:18,573 p=35770 u=jason n=ansible | changed: [1PipeTeaseOps-1]
2024-11-18 12:00:18,579 p=35770 u=jason n=ansible | TASK [nginx : Enable and Start Nginx Service] ***************************************************************************************************************************
2024-11-18 12:00:19,088 p=35770 u=jason n=ansible | ok: [1PipeTeaseOps-1]
2024-11-18 12:00:19,101 p=35770 u=jason n=ansible | RUNNING HANDLER [nginx : Restart Nginx] *********************************************************************************************************************************
2024-11-18 12:00:19,645 p=35770 u=jason n=ansible | changed: [1PipeTeaseOps-1]
2024-11-18 12:00:19,646 p=35770 u=jason n=ansible | PLAY RECAP **************************************************************************************************************************************************************
2024-11-18 12:00:19,646 p=35770 u=jason n=ansible | 1PipeTeaseOps-1            : ok=21   changed=2    unreachable=0    failed=0    skipped=0    rescued=0    ignored=0   
2024-11-18 12:00:19,646 p=35770 u=jason n=ansible | 1PipeTeaseOps-2            : ok=28   changed=0    unreachable=0    failed=0    skipped=0    rescued=0    ignored=0   
2024-11-18 12:02:27,565 p=36903 u=jason n=ansible | PLAY [Initial setup] ****************************************************************************************************************************************************
2024-11-18 12:02:27,573 p=36903 u=jason n=ansible | TASK [Gathering Facts] **************************************************************************************************************************************************
2024-11-18 12:02:29,378 p=36903 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 12:02:29,420 p=36903 u=jason n=ansible | ok: [1PipeTeaseOps-1]
2024-11-18 12:02:29,424 p=36903 u=jason n=ansible | TASK [init : Update APT cache] ******************************************************************************************************************************************
2024-11-18 12:02:30,348 p=36903 u=jason n=ansible | ok: [1PipeTeaseOps-1]
2024-11-18 12:02:30,374 p=36903 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 12:02:30,380 p=36903 u=jason n=ansible | TASK [init : Install Prometheus Node Exporter] **************************************************************************************************************************
2024-11-18 12:02:31,495 p=36903 u=jason n=ansible | ok: [1PipeTeaseOps-1]
2024-11-18 12:02:31,568 p=36903 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 12:02:31,574 p=36903 u=jason n=ansible | TASK [init : Ensure Prometheus Node Exporter is running] ****************************************************************************************************************
2024-11-18 12:02:32,289 p=36903 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 12:02:32,303 p=36903 u=jason n=ansible | ok: [1PipeTeaseOps-1]
2024-11-18 12:02:32,313 p=36903 u=jason n=ansible | PLAY [Configure DNS Server] *********************************************************************************************************************************************
2024-11-18 12:02:32,321 p=36903 u=jason n=ansible | TASK [Gathering Facts] **************************************************************************************************************************************************
2024-11-18 12:02:33,330 p=36903 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 12:02:33,335 p=36903 u=jason n=ansible | TASK [bind : Install Bind9] *********************************************************************************************************************************************
2024-11-18 12:02:34,472 p=36903 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 12:02:34,480 p=36903 u=jason n=ansible | TASK [bind : Template named.conf.options] *******************************************************************************************************************************
2024-11-18 12:02:35,341 p=36903 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 12:02:35,347 p=36903 u=jason n=ansible | TASK [bind : Template named.conf.local] *********************************************************************************************************************************
2024-11-18 12:02:36,112 p=36903 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 12:02:36,119 p=36903 u=jason n=ansible | TASK [bind : Template forward zone file] ********************************************************************************************************************************
2024-11-18 12:02:36,837 p=36903 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 12:02:36,843 p=36903 u=jason n=ansible | TASK [bind : Template reverse zone file] ********************************************************************************************************************************
2024-11-18 12:02:37,520 p=36903 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 12:02:37,528 p=36903 u=jason n=ansible | TASK [bind : Validate Bind9 Configuration] ******************************************************************************************************************************
2024-11-18 12:02:37,973 p=36903 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 12:02:37,977 p=36903 u=jason n=ansible | TASK [bind : Validate Forward Zone] *************************************************************************************************************************************
2024-11-18 12:02:38,351 p=36903 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 12:02:38,357 p=36903 u=jason n=ansible | TASK [bind : Validate Reverse Zone] *************************************************************************************************************************************
2024-11-18 12:02:38,762 p=36903 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 12:02:38,769 p=36903 u=jason n=ansible | TASK [bind : Ensure Bind9 is running and enabled] ***********************************************************************************************************************
2024-11-18 12:02:39,313 p=36903 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 12:02:39,320 p=36903 u=jason n=ansible | PLAY [Configure DNS Client] *********************************************************************************************************************************************
2024-11-18 12:02:39,326 p=36903 u=jason n=ansible | TASK [Gathering Facts] **************************************************************************************************************************************************
2024-11-18 12:02:40,353 p=36903 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 12:02:40,380 p=36903 u=jason n=ansible | ok: [1PipeTeaseOps-1]
2024-11-18 12:02:40,385 p=36903 u=jason n=ansible | TASK [config-dns : Resolv.conf] *****************************************************************************************************************************************
2024-11-18 12:02:41,090 p=36903 u=jason n=ansible | ok: [1PipeTeaseOps-1]
2024-11-18 12:02:41,099 p=36903 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 12:02:41,105 p=36903 u=jason n=ansible | TASK [config-dns : Stop systemd-resolved] *******************************************************************************************************************************
2024-11-18 12:02:41,656 p=36903 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 12:02:41,664 p=36903 u=jason n=ansible | ok: [1PipeTeaseOps-1]
2024-11-18 12:02:41,674 p=36903 u=jason n=ansible | PLAY [Prometheus Server] ************************************************************************************************************************************************
2024-11-18 12:02:41,678 p=36903 u=jason n=ansible | TASK [Gathering Facts] **************************************************************************************************************************************************
2024-11-18 12:02:42,677 p=36903 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 12:02:42,682 p=36903 u=jason n=ansible | TASK [prometheus : Install Prometheus] **********************************************************************************************************************************
2024-11-18 12:02:43,755 p=36903 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 12:02:43,762 p=36903 u=jason n=ansible | TASK [prometheus : Copy Prometheus default file] ************************************************************************************************************************
2024-11-18 12:02:44,495 p=36903 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 12:02:44,499 p=36903 u=jason n=ansible | TASK [prometheus : Modify /etc/prometheus/prometheus.yml] ***************************************************************************************************************
2024-11-18 12:02:45,156 p=36903 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 12:02:45,163 p=36903 u=jason n=ansible | TASK [prometheus : Enable Prometheus] ***********************************************************************************************************************************
2024-11-18 12:02:45,680 p=36903 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 12:02:45,687 p=36903 u=jason n=ansible | PLAY [Configure Database Server] ****************************************************************************************************************************************
2024-11-18 12:02:45,694 p=36903 u=jason n=ansible | TASK [Gathering Facts] **************************************************************************************************************************************************
2024-11-18 12:02:46,705 p=36903 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 12:02:46,709 p=36903 u=jason n=ansible | TASK [mysql : Install MySQL Server] *************************************************************************************************************************************
2024-11-18 12:02:47,844 p=36903 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 12:02:47,850 p=36903 u=jason n=ansible | TASK [mysql : Copy Override Config] *************************************************************************************************************************************
2024-11-18 12:02:48,522 p=36903 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 12:02:48,528 p=36903 u=jason n=ansible | TASK [mysql : Enable and Start MySQL Server] ****************************************************************************************************************************
2024-11-18 12:02:49,047 p=36903 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 12:02:49,052 p=36903 u=jason n=ansible | TASK [mysql : MySQL Database] *******************************************************************************************************************************************
2024-11-18 12:02:49,508 p=36903 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 12:02:49,514 p=36903 u=jason n=ansible | TASK [mysql : Create MySQL User] ****************************************************************************************************************************************
2024-11-18 12:02:50,062 p=36903 u=jason n=ansible | [WARNING]: Option column_case_sensitive is not provided. The default is now false, so the column's name will be uppercased. The default will be changed to true in
community.mysql 4.0.0.

2024-11-18 12:02:50,062 p=36903 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 12:02:50,067 p=36903 u=jason n=ansible | PLAY [Configure Agama] **************************************************************************************************************************************************
2024-11-18 12:02:50,074 p=36903 u=jason n=ansible | TASK [Gathering Facts] **************************************************************************************************************************************************
2024-11-18 12:02:51,088 p=36903 u=jason n=ansible | ok: [1PipeTeaseOps-1]
2024-11-18 12:02:51,093 p=36903 u=jason n=ansible | TASK [agama : make user Agama] ******************************************************************************************************************************************
2024-11-18 12:02:51,553 p=36903 u=jason n=ansible | ok: [1PipeTeaseOps-1]
2024-11-18 12:02:51,560 p=36903 u=jason n=ansible | TASK [agama : Agama is owner now] ***************************************************************************************************************************************
2024-11-18 12:02:51,913 p=36903 u=jason n=ansible | ok: [1PipeTeaseOps-1]
2024-11-18 12:02:51,920 p=36903 u=jason n=ansible | TASK [agama : download python3 flask sql] *******************************************************************************************************************************
2024-11-18 12:02:53,045 p=36903 u=jason n=ansible | ok: [1PipeTeaseOps-1]
2024-11-18 12:02:53,049 p=36903 u=jason n=ansible | TASK [agama : Download agama.py] ****************************************************************************************************************************************
2024-11-18 12:02:53,605 p=36903 u=jason n=ansible | ok: [1PipeTeaseOps-1]
2024-11-18 12:02:53,614 p=36903 u=jason n=ansible | PLAY [Configure uWSGI] **************************************************************************************************************************************************
2024-11-18 12:02:53,621 p=36903 u=jason n=ansible | TASK [Gathering Facts] **************************************************************************************************************************************************
2024-11-18 12:02:54,621 p=36903 u=jason n=ansible | ok: [1PipeTeaseOps-1]
2024-11-18 12:02:54,626 p=36903 u=jason n=ansible | TASK [uwsgi : Install uWSGI] ********************************************************************************************************************************************
2024-11-18 12:02:55,699 p=36903 u=jason n=ansible | ok: [1PipeTeaseOps-1]
2024-11-18 12:02:55,706 p=36903 u=jason n=ansible | TASK [uwsgi : Configure host uwsgi] *************************************************************************************************************************************
2024-11-18 12:02:56,380 p=36903 u=jason n=ansible | ok: [1PipeTeaseOps-1]
2024-11-18 12:02:56,387 p=36903 u=jason n=ansible | TASK [uwsgi : Enable and start uWSGI service] ***************************************************************************************************************************
2024-11-18 12:02:56,920 p=36903 u=jason n=ansible | ok: [1PipeTeaseOps-1]
2024-11-18 12:02:56,928 p=36903 u=jason n=ansible | PLAY [Configure Nginx] **************************************************************************************************************************************************
2024-11-18 12:02:56,935 p=36903 u=jason n=ansible | TASK [Gathering Facts] **************************************************************************************************************************************************
2024-11-18 12:02:58,009 p=36903 u=jason n=ansible | ok: [1PipeTeaseOps-1]
2024-11-18 12:02:58,013 p=36903 u=jason n=ansible | TASK [nginx : Install nginx] ********************************************************************************************************************************************
2024-11-18 12:02:59,118 p=36903 u=jason n=ansible | ok: [1PipeTeaseOps-1]
2024-11-18 12:02:59,124 p=36903 u=jason n=ansible | TASK [nginx : Template Nginx Config] ************************************************************************************************************************************
2024-11-18 12:02:59,948 p=36903 u=jason n=ansible | changed: [1PipeTeaseOps-1]
2024-11-18 12:02:59,954 p=36903 u=jason n=ansible | TASK [nginx : Enable and Start Nginx Service] ***************************************************************************************************************************
2024-11-18 12:03:00,475 p=36903 u=jason n=ansible | ok: [1PipeTeaseOps-1]
2024-11-18 12:03:00,490 p=36903 u=jason n=ansible | RUNNING HANDLER [nginx : Restart Nginx] *********************************************************************************************************************************
2024-11-18 12:03:01,040 p=36903 u=jason n=ansible | changed: [1PipeTeaseOps-1]
2024-11-18 12:03:01,041 p=36903 u=jason n=ansible | PLAY RECAP **************************************************************************************************************************************************************
2024-11-18 12:03:01,041 p=36903 u=jason n=ansible | 1PipeTeaseOps-1            : ok=21   changed=2    unreachable=0    failed=0    skipped=0    rescued=0    ignored=0   
2024-11-18 12:03:01,041 p=36903 u=jason n=ansible | 1PipeTeaseOps-2            : ok=28   changed=0    unreachable=0    failed=0    skipped=0    rescued=0    ignored=0   
2024-11-18 12:08:19,160 p=38749 u=jason n=ansible | PLAY [Initial setup] ****************************************************************************************************************************************************
2024-11-18 12:08:19,169 p=38749 u=jason n=ansible | TASK [Gathering Facts] **************************************************************************************************************************************************
2024-11-18 12:08:20,981 p=38749 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 12:08:21,002 p=38749 u=jason n=ansible | ok: [1PipeTeaseOps-1]
2024-11-18 12:08:21,006 p=38749 u=jason n=ansible | TASK [init : Update APT cache] ******************************************************************************************************************************************
2024-11-18 12:08:21,931 p=38749 u=jason n=ansible | ok: [1PipeTeaseOps-1]
2024-11-18 12:08:21,945 p=38749 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 12:08:21,951 p=38749 u=jason n=ansible | TASK [init : Install Prometheus Node Exporter] **************************************************************************************************************************
2024-11-18 12:08:23,093 p=38749 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 12:08:23,094 p=38749 u=jason n=ansible | ok: [1PipeTeaseOps-1]
2024-11-18 12:08:23,100 p=38749 u=jason n=ansible | TASK [init : Ensure Prometheus Node Exporter is running] ****************************************************************************************************************
2024-11-18 12:08:23,949 p=38749 u=jason n=ansible | ok: [1PipeTeaseOps-1]
2024-11-18 12:08:24,025 p=38749 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 12:08:24,038 p=38749 u=jason n=ansible | PLAY [Configure DNS Server] *********************************************************************************************************************************************
2024-11-18 12:08:24,044 p=38749 u=jason n=ansible | TASK [Gathering Facts] **************************************************************************************************************************************************
2024-11-18 12:08:25,060 p=38749 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 12:08:25,063 p=38749 u=jason n=ansible | TASK [bind : Install Bind9] *********************************************************************************************************************************************
2024-11-18 12:08:26,123 p=38749 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 12:08:26,131 p=38749 u=jason n=ansible | TASK [bind : Template named.conf.options] *******************************************************************************************************************************
2024-11-18 12:08:26,918 p=38749 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 12:08:26,924 p=38749 u=jason n=ansible | TASK [bind : Template named.conf.local] *********************************************************************************************************************************
2024-11-18 12:08:27,701 p=38749 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 12:08:27,707 p=38749 u=jason n=ansible | TASK [bind : Template forward zone file] ********************************************************************************************************************************
2024-11-18 12:08:28,421 p=38749 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 12:08:28,428 p=38749 u=jason n=ansible | TASK [bind : Template reverse zone file] ********************************************************************************************************************************
2024-11-18 12:08:29,168 p=38749 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 12:08:29,177 p=38749 u=jason n=ansible | TASK [bind : Validate Bind9 Configuration] ******************************************************************************************************************************
2024-11-18 12:08:29,635 p=38749 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 12:08:29,641 p=38749 u=jason n=ansible | TASK [bind : Validate Forward Zone] *************************************************************************************************************************************
2024-11-18 12:08:30,033 p=38749 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 12:08:30,039 p=38749 u=jason n=ansible | TASK [bind : Validate Reverse Zone] *************************************************************************************************************************************
2024-11-18 12:08:30,430 p=38749 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 12:08:30,438 p=38749 u=jason n=ansible | TASK [bind : Ensure Bind9 is running and enabled] ***********************************************************************************************************************
2024-11-18 12:08:30,985 p=38749 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 12:08:30,990 p=38749 u=jason n=ansible | PLAY [Configure DNS Client] *********************************************************************************************************************************************
2024-11-18 12:08:30,996 p=38749 u=jason n=ansible | TASK [Gathering Facts] **************************************************************************************************************************************************
2024-11-18 12:08:32,060 p=38749 u=jason n=ansible | ok: [1PipeTeaseOps-1]
2024-11-18 12:08:32,062 p=38749 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 12:08:32,068 p=38749 u=jason n=ansible | TASK [config-dns : Resolv.conf] *****************************************************************************************************************************************
2024-11-18 12:08:32,779 p=38749 u=jason n=ansible | ok: [1PipeTeaseOps-1]
2024-11-18 12:08:32,799 p=38749 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 12:08:32,805 p=38749 u=jason n=ansible | TASK [config-dns : Stop systemd-resolved] *******************************************************************************************************************************
2024-11-18 12:08:33,364 p=38749 u=jason n=ansible | ok: [1PipeTeaseOps-1]
2024-11-18 12:08:33,364 p=38749 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 12:08:33,376 p=38749 u=jason n=ansible | PLAY [Prometheus Server] ************************************************************************************************************************************************
2024-11-18 12:08:33,381 p=38749 u=jason n=ansible | TASK [Gathering Facts] **************************************************************************************************************************************************
2024-11-18 12:08:34,419 p=38749 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 12:08:34,423 p=38749 u=jason n=ansible | TASK [prometheus : Install Prometheus] **********************************************************************************************************************************
2024-11-18 12:08:35,483 p=38749 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 12:08:35,488 p=38749 u=jason n=ansible | TASK [prometheus : Copy Prometheus default file] ************************************************************************************************************************
2024-11-18 12:08:36,166 p=38749 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 12:08:36,173 p=38749 u=jason n=ansible | TASK [prometheus : Modify /etc/prometheus/prometheus.yml] ***************************************************************************************************************
2024-11-18 12:08:36,845 p=38749 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 12:08:36,852 p=38749 u=jason n=ansible | TASK [prometheus : Enable Prometheus] ***********************************************************************************************************************************
2024-11-18 12:08:37,372 p=38749 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 12:08:37,380 p=38749 u=jason n=ansible | PLAY [Configure Database Server] ****************************************************************************************************************************************
2024-11-18 12:08:37,387 p=38749 u=jason n=ansible | TASK [Gathering Facts] **************************************************************************************************************************************************
2024-11-18 12:08:38,431 p=38749 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 12:08:38,435 p=38749 u=jason n=ansible | TASK [mysql : Install MySQL Server] *************************************************************************************************************************************
2024-11-18 12:08:39,522 p=38749 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 12:08:39,528 p=38749 u=jason n=ansible | TASK [mysql : Copy Override Config] *************************************************************************************************************************************
2024-11-18 12:08:40,191 p=38749 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 12:08:40,198 p=38749 u=jason n=ansible | TASK [mysql : Enable and Start MySQL Server] ****************************************************************************************************************************
2024-11-18 12:08:40,718 p=38749 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 12:08:40,724 p=38749 u=jason n=ansible | TASK [mysql : MySQL Database] *******************************************************************************************************************************************
2024-11-18 12:08:41,233 p=38749 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 12:08:41,240 p=38749 u=jason n=ansible | TASK [mysql : Create MySQL User] ****************************************************************************************************************************************
2024-11-18 12:08:41,787 p=38749 u=jason n=ansible | [WARNING]: Option column_case_sensitive is not provided. The default is now false, so the column's name will be uppercased. The default will be changed to true in
community.mysql 4.0.0.

2024-11-18 12:08:41,787 p=38749 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 12:08:41,793 p=38749 u=jason n=ansible | PLAY [Configure Agama] **************************************************************************************************************************************************
2024-11-18 12:08:41,799 p=38749 u=jason n=ansible | TASK [Gathering Facts] **************************************************************************************************************************************************
2024-11-18 12:08:42,801 p=38749 u=jason n=ansible | ok: [1PipeTeaseOps-1]
2024-11-18 12:08:42,806 p=38749 u=jason n=ansible | TASK [agama : make user Agama] ******************************************************************************************************************************************
2024-11-18 12:08:43,287 p=38749 u=jason n=ansible | ok: [1PipeTeaseOps-1]
2024-11-18 12:08:43,293 p=38749 u=jason n=ansible | TASK [agama : Agama is owner now] ***************************************************************************************************************************************
2024-11-18 12:08:43,664 p=38749 u=jason n=ansible | ok: [1PipeTeaseOps-1]
2024-11-18 12:08:43,670 p=38749 u=jason n=ansible | TASK [agama : download python3 flask sql] *******************************************************************************************************************************
2024-11-18 12:08:44,783 p=38749 u=jason n=ansible | ok: [1PipeTeaseOps-1]
2024-11-18 12:08:44,788 p=38749 u=jason n=ansible | TASK [agama : Download agama.py] ****************************************************************************************************************************************
2024-11-18 12:08:45,325 p=38749 u=jason n=ansible | ok: [1PipeTeaseOps-1]
2024-11-18 12:08:45,335 p=38749 u=jason n=ansible | PLAY [Configure uWSGI] **************************************************************************************************************************************************
2024-11-18 12:08:45,342 p=38749 u=jason n=ansible | TASK [Gathering Facts] **************************************************************************************************************************************************
2024-11-18 12:08:46,345 p=38749 u=jason n=ansible | ok: [1PipeTeaseOps-1]
2024-11-18 12:08:46,350 p=38749 u=jason n=ansible | TASK [uwsgi : Install uWSGI] ********************************************************************************************************************************************
2024-11-18 12:08:47,417 p=38749 u=jason n=ansible | ok: [1PipeTeaseOps-1]
2024-11-18 12:08:47,424 p=38749 u=jason n=ansible | TASK [uwsgi : Configure host uwsgi] *************************************************************************************************************************************
2024-11-18 12:08:48,122 p=38749 u=jason n=ansible | ok: [1PipeTeaseOps-1]
2024-11-18 12:08:48,129 p=38749 u=jason n=ansible | TASK [uwsgi : Enable and start uWSGI service] ***************************************************************************************************************************
2024-11-18 12:08:48,666 p=38749 u=jason n=ansible | ok: [1PipeTeaseOps-1]
2024-11-18 12:08:48,672 p=38749 u=jason n=ansible | PLAY [Configure Nginx] **************************************************************************************************************************************************
2024-11-18 12:08:48,678 p=38749 u=jason n=ansible | TASK [Gathering Facts] **************************************************************************************************************************************************
2024-11-18 12:08:49,720 p=38749 u=jason n=ansible | ok: [1PipeTeaseOps-1]
2024-11-18 12:08:49,722 p=38749 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 12:08:49,727 p=38749 u=jason n=ansible | TASK [nginx : Install nginx] ********************************************************************************************************************************************
2024-11-18 12:08:50,826 p=38749 u=jason n=ansible | ok: [1PipeTeaseOps-1]
2024-11-18 12:09:17,087 p=38749 u=jason n=ansible | changed: [1PipeTeaseOps-2]
2024-11-18 12:09:17,094 p=38749 u=jason n=ansible | TASK [nginx : Template Nginx Config] ************************************************************************************************************************************
2024-11-18 12:09:17,805 p=38749 u=jason n=ansible | ok: [1PipeTeaseOps-1]
2024-11-18 12:09:17,984 p=38749 u=jason n=ansible | changed: [1PipeTeaseOps-2]
2024-11-18 12:09:17,989 p=38749 u=jason n=ansible | TASK [nginx : Enable and Start Nginx Service] ***************************************************************************************************************************
2024-11-18 12:09:18,515 p=38749 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 12:09:18,516 p=38749 u=jason n=ansible | ok: [1PipeTeaseOps-1]
2024-11-18 12:09:18,533 p=38749 u=jason n=ansible | RUNNING HANDLER [nginx : Restart Nginx] *********************************************************************************************************************************
2024-11-18 12:09:19,133 p=38749 u=jason n=ansible | changed: [1PipeTeaseOps-2]
2024-11-18 12:09:19,134 p=38749 u=jason n=ansible | PLAY RECAP **************************************************************************************************************************************************************
2024-11-18 12:09:19,134 p=38749 u=jason n=ansible | 1PipeTeaseOps-1            : ok=20   changed=0    unreachable=0    failed=0    skipped=0    rescued=0    ignored=0   
2024-11-18 12:09:19,134 p=38749 u=jason n=ansible | 1PipeTeaseOps-2            : ok=33   changed=3    unreachable=0    failed=0    skipped=0    rescued=0    ignored=0   
2024-11-18 12:15:34,259 p=40976 u=jason n=ansible | PLAY [Initial setup] ****************************************************************************************************************************************************
2024-11-18 12:15:34,268 p=40976 u=jason n=ansible | TASK [Gathering Facts] **************************************************************************************************************************************************
2024-11-18 12:15:36,124 p=40976 u=jason n=ansible | ok: [1PipeTeaseOps-1]
2024-11-18 12:15:36,209 p=40976 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 12:15:36,213 p=40976 u=jason n=ansible | TASK [init : Update APT cache] ******************************************************************************************************************************************
2024-11-18 12:15:37,086 p=40976 u=jason n=ansible | ok: [1PipeTeaseOps-1]
2024-11-18 12:15:37,163 p=40976 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 12:15:37,170 p=40976 u=jason n=ansible | TASK [init : Install Prometheus Node Exporter] **************************************************************************************************************************
2024-11-18 12:15:38,267 p=40976 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 12:15:38,279 p=40976 u=jason n=ansible | ok: [1PipeTeaseOps-1]
2024-11-18 12:15:38,285 p=40976 u=jason n=ansible | TASK [init : Ensure Prometheus Node Exporter is running] ****************************************************************************************************************
2024-11-18 12:15:38,991 p=40976 u=jason n=ansible | ok: [1PipeTeaseOps-1]
2024-11-18 12:15:38,992 p=40976 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 12:15:39,004 p=40976 u=jason n=ansible | PLAY [Configure DNS Server] *********************************************************************************************************************************************
